"﻿Generated by WizTree 4.15 10/18/2023 12:50:48 PM (You can hide this message by making a donation)"
"File Name","Size","Allocated","Modified","Attributes","Files","Folders"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - ParticlesTestData.ba2","79803779","79806464","2023/09/04 14:34:16","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - Shaders.ba2","70102711","70103040","2023/09/04 13:51:37","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Constellation - Textures.ba2","50618926","50622464","2023/09/04 04:56:35","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - Misc.ba2","37691326","37691392","2023/09/04 03:53:39","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - PlanetData.ba2","22468821","22470656","2023/09/04 03:06:58","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - Materials.ba2","16635625","16637952","2023/09/04 03:02:50","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\OldMars - Textures.ba2","14621640","14622720","2023/09/04 03:01:35","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - LODMeshesPatch.ba2","12962271","12963840","2023/09/04 02:51:24","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - LODMeshes.ba2","12959396","12959744","2023/09/04 02:51:59","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - GeneratedTextures.ba2","7040741","7041024","2023/09/04 02:26:57","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - VoicesPatch.ba2","4505258","4505600","2023/09/04 02:37:08","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Starfield - TerrainPatch.ba2","3035846","3039232","2023/09/04 03:27:24","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\BlueprintShips-Starfield - Localization.ba2","61067","61440","2023/09/04 02:30:43","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Constellation.esm","39210","40960","2023/09/04 02:51:05","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\OldMars.esm","24358","24576","2023/09/04 03:01:35","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\Constellation - Localization.ba2","3277","4096","2023/09/04 03:23:41","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\OldMars - Localization.ba2","2717","4096","2023/09/04 02:51:05","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\data.bin","16","0","2023/09/04 02:51:05","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\","1693093644","1693167616","2023/09/09 11:41:07","0","37","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\MainMenuLoop.bk2","476197580","476200960","2023/09/04 17:22:32","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\EndingVision.bk2","287405528","287408128","2023/09/04 17:51:41","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\ArtifactVision06.bk2","28804720","28807168","2023/09/04 16:30:07","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\ArtifactVision07.bk2","28804668","28807168","2023/09/04 02:59:04","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\ArtifactVision03.bk2","28804244","28807168","2023/09/04 14:23:09","262176","0","0"
